Category,Event Name,Date,Link
Cadets,Casablanca Cadet African Cup 2025,"Jan 17, 2025",/competitions/cont_cup_cad_mar2025/overview
Cadets,Dushanbe Cadet Asian Cup 2025,"Aug 7 - 8, 2025",/competitions/cont_cup_cad_tjk2025/overview
Cadets,El Salvador Cadet Panamerican Cup 2025,"Sep 5, 2025",/competitions/cont_cup_cad_esa2025/overview
Cadets,Genova Cadet European Cup 2025,"Feb 8 - 9, 2025",/competitions/cont_cup_cad_ita2025/overview
Cadets,Guayaquil Cadet Panamerican Cup 2025,"May 29, 2025",/competitions/cont_cup_cad_ecu2025/overview
Cadets,Gyor Millennium Team Cadet European Cup 2025,"Nov 8 - 9, 2025",/competitions/cont_cup_cad_hun2025/overview
Cadets,Hong Kong Cadet Asian Cup 2025,"Jul 19, 2025",/competitions/cont_cup_cad_hkg2025/overview
Cadets,Koper Millennium Team Cadet European Cup 2025,"Oct 25 - 26, 2025",/competitions/cont_cup_cad_slo2025/overview
Cadets,Macau Cadet Asian Cup 2025,"Jul 26, 2025",/competitions/cont_cup_cad_mac2025/overview
Cadets,Mandurah Cadet Oceania Cup 2025,"May 4, 2025",/competitions/cont_cup_cad_aus2025/overview
Cadets,Millennium Team European Cadet Championships Skopje 2025 Individuals,"Jun 26 - 28, 2025",/competitions/eju_cad2025/overview
Cadets,Millennium Team European Cadet Championships Skopje 2025 Mixed Teams,"Jun 29, 2025",/competitions/eju_cad_teams2025/overview
Cadets,Montreal Cadet Panamerican Cup 2025,"Nov 14, 2025",/competitions/cont_cup_cad_can2025/overview
Cadets,OTP Group Sofia World Cadet Championships 2025 Individuals,"Aug 27 - 30, 2025",/competitions/wc_cad2025/overview
Cadets,OTP Group Sofia World Cadet Championships 2025 Mixed Teams,"Aug 31, 2025",/competitions/wc_cad_team2025/overview
Cadets,Panama Cadet Panamerican Cup 2025,"Apr 5, 2025",/competitions/cont_cup_cad_pan2025/overview
Cadets,Panamerican and Oceania Championships Cadets Individuals 2025,"Apr 18, 2025",/competitions/pjc_oju_cad2025/overview
Cadets,Panamerican and Oceania Championships Cadets Mixed Team 2025,"Apr 20, 2025",/competitions/pjc_oju_cad_teams2025/overview
Cadets,Porec Millennium Team Cadet European Cup 2025,"Mar 15 - 16, 2025",/competitions/cont_cup_cad_cro2025/overview
Cadets,Pretoria Cadet African Cup 2025,"Jun 28, 2025",/competitions/cont_cup_cad_rsa2025/overview
Cadets,Quba Millennium Team Cadet European Cup 2025,"May 3 - 4, 2025",/competitions/cont_cup_cad_aze2025/overview
Cadets,Riga Millennium Team Cadet European Cup 2025,"Oct 18 - 19, 2025",/competitions/cont_cup_cad_lat2025/overview
Cadets,Samorin Cadet European Cup 2025,"Feb 15 - 16, 2025",/competitions/cont_cup_cad_svk2025/overview
Cadets,Santo Domingo Cadet Panamerican Cup 2025,"Oct 4, 2025",/competitions/cont_cup_cad_dom2025/overview
Cadets,Sao Joao da Madeira Millennium Team Cadet European Cup 2025,"May 24 - 25, 2025",/competitions/cont_cup_cad_por2025/overview
Cadets,Taipei Cadets Asian Cup 2025,"Jul 15, 2025",/competitions/cont_cup_cad_tpe2025/overview
Cadets,Tashkent Cadet Asian Cup 2025,"May 22 - 23, 2025",/competitions/cont_cup_cad_uzb2025/overview
Cadets,Tbilisi Millennium Team Cadet European Cup 2025,"Apr 12 - 13, 2025",/competitions/cont_cup_cad_geo2025/overview
Cadets,Teplice Millennium Team Cadet European Cup 2025,"Apr 5 - 6, 2025",/competitions/cont_cup_cad_cze2025/overview
Cadets,Thessaloniki Millennium Team Cadet European Cup 2025,"Nov 22 - 23, 2025",/competitions/cont_cup_cad_gre2025/overview
Cadets,Tunis Cadet African Cup 2025,"Feb 14, 2025",/competitions/cont_cup_cad_tun2025/overview
Cadets,Varadero Cadet Panamerican Cup 2025,"Jul 3, 2025",/competitions/cont_cup_cad_cub2025/overview
Seniors,Abidjan African Open 2025,"Nov 29 - 30, 2025",/competitions/cont_open_civ2025/overview
Seniors,Abu Dhabi Grand Slam 2025,"Oct 17 - 19, 2025",/competitions/gs_uae2025/overview
Seniors,African Senior Championships Abidjan 2025 Individuals,"Apr 25 - 26, 2025",/competitions/aju_sen2025/overview
Seniors,African Senior Championships Abidjan 2025 Mixed Teams,"Apr 27, 2025",/competitions/aju_sen_team2025/overview
Seniors,Aktau Asian Open 2025,"Oct 11 - 12, 2025",/competitions/cont_open_kaz2025/overview
Seniors,Algiers African Open 2025,"Feb 22 - 23, 2025",/competitions/cont_open_alg2025/overview
Seniors,Amman Asian Open 2025,"Aug 18 - 19, 2025",/competitions/cont_open_jor2025/overview
Seniors,Asian Senior Championships Bangkok 2025 Individuals,"Apr 25 - 27, 2025",/competitions/jua_sen2025/overview
Seniors,Asian Senior Championships Bangkok 2025 Mixed teams,"Apr 28, 2025",/competitions/jua_sen_teams2025/overview
Seniors,Asuncion Senior Panamerican Cup 2025,"May 23, 2025",/competitions/cont_cup_sen_par2025/overview
Seniors,Baku Grand Slam 2025,"Feb 14 - 16, 2025",/competitions/gs_aze2025/overview
Seniors,Benidorm European Open 2025,"May 17 - 18, 2025",/competitions/cont_open_esp2025/overview
Seniors,Casablanca African Open 2025,"Jan 18 - 19, 2025",/competitions/cont_open_mar2025/overview
Seniors,Dakar African Open 2025,"Nov 15 - 16, 2025",/competitions/cont_open_sen2025/overview
Seniors,Dubrovnik Senior European Cup 2025,"Apr 5 - 6, 2025",/competitions/cont_cup_sen_cro2025/overview
Seniors,Dushanbe Grand Slam 2025,"May 2 - 4, 2025",/competitions/gs_tjk2025/overview
Seniors,El Salvador Senior Panamerican Cup 2025,"Sep 7, 2025",/competitions/cont_cup_sen_esa2025/overview
Seniors,European Judo Championships Senior Podgorica 2025 Individuals,"Apr 23 - 26, 2025",/competitions/eju_sen2025/overview
Seniors,European Judo Championships Senior Podgorica 2025 Mixed Teams,"Apr 27, 2025",/competitions/eju_sen_teams2025/overview
Seniors,Gold Coast Oceania Open 2025,"Nov 1 - 2, 2025",/competitions/cont_open_2_aus2025/overview
Seniors,Gori Senior European Cup 2025,"May 10 - 11, 2025",/competitions/cont_cup_sen_geo2025/overview
Seniors,Grand Prix Upper Austria 2025,"Mar 7 - 9, 2025",/competitions/gp_aut2025/overview
Seniors,Guayaquil Panamerican Open 2025,"May 31 - Jun 1, 2025",/competitions/cont_open_ecu2025/overview
Seniors,Hangzhou Asian Open 2025,"Sep 6 - 7, 2025",/competitions/cont_open_chn2025/overview
Seniors,Hong Kong Asian Open 2025,"Oct 25 - 26, 2025",/competitions/cont_open_hkg2025/overview
Seniors,Lima Panamerican Open 2025,"Jul 13 - 14, 2025",/competitions/cont_open_per2025/overview
Seniors,Ljubljana European Open 2025,"Feb 8 - 9, 2025",/competitions/cont_open_slo2025/overview
Seniors,Malaga Senior European Cup 2025,"Oct 11 - 12, 2025",/competitions/cont_cup_sen_esp2025/overview
Seniors,Mandurah Oceania Open 2025,"May 3, 2025",/competitions/cont_open_1_aus2025/overview
Seniors,Montreal Panamerican Open 2025,"Nov 15 - 16, 2025",/competitions/cont_open_can2025/overview
Seniors,OTP Group Tashkent Grand Slam 2025,"Feb 28 - Mar 2, 2025",/competitions/gs_uzb2025/overview
Seniors,Panamerican and Oceania Senior Championships Santiago 2025 Individuals,"Apr 25 - 26, 2025",/competitions/pjc_oju_sen2025/overview
Seniors,Panamerican and Oceania Senior Championships Santiago 2025 Mixed Teams,"Apr 27, 2025",/competitions/pjc_oju_sen_teams2025/overview
Seniors,Paris Grand Slam 2025,"Feb 1 - 2, 2025",/competitions/gs_fra2025/overview
Seniors,Podgorica Senior European Cup 2025,"Mar 8 - 9, 2025",/competitions/cont_cup_sen_mne2025/overview
Seniors,Prague European Open 2025,"Sep 27 - 28, 2025",/competitions/cont_open_cze2025/overview
Seniors,Pretoria African Open 2025,"Jun 26 - 27, 2025",/competitions/cont_open_rsa2025/overview
Seniors,Qazaqstan Barysy Grand Slam 2025,"May 9 - 11, 2025",/competitions/gs_kaz2025/overview
Seniors,Riga Senior European Cup 2025,"Mar 15 - 16, 2025",/competitions/cont_cup_sen_lat2025/overview
Seniors,Rio de Janeiro Panamerican Open 2025,"Mar 15 - 16, 2025",/competitions/cont_open_bra2025/overview
Seniors,Rome European Open 2025,"Nov 8 - 9, 2025",/competitions/cont_open_ita2025/overview
Seniors,Santo Domingo Panamerican Open 2025,"Jun 28 - 29, 2025",/competitions/cont_open_dom2025/overview
Seniors,Sarajevo European Open 2025,"Oct 25 - 26, 2025",/competitions/cont_open_bih2025/overview
Seniors,Sarajevo Senior European Cup 2025,"May 31 - Jun 1, 2025",/competitions/cont_cup_sen_bih2025/overview
Seniors,Skopje Senior European Cup 2025,"Sep 20 - 21, 2025",/competitions/cont_cup_sen_mkd2025/overview
Seniors,Tahiti Oceania Open 2025,"May 24 - 25, 2025",/competitions/cont_open_pyf2025/overview
Seniors,Taipei Asian Open 2025,"Jul 12 - 13, 2025",/competitions/cont_open_tpe2025/overview
Seniors,Tallin European Open 2025,"Jul 5 - 6, 2025",/competitions/cont_open_est2025/overview
Seniors,Tbilisi Grand Slam 2025,"Mar 21 - 23, 2025",/competitions/gs_geo2025/overview
Seniors,Tokyo Grand Slam 2025,"Dec 6 - 7, 2025",/competitions/gs_jpn2025/overview
Seniors,Tunis African Open 2025,"Feb 15 - 16, 2025",/competitions/cont_open_tun2025/overview
Seniors,Ulaanbaatar Grand Slam 2025,"Jul 25 - 27, 2025",/competitions/gs_mgl2025/overview
Seniors,Varadero Panamerican Open 2025,"Jul 5 - 6, 2025",/competitions/cont_open_cub2025/overview
Seniors,Warsaw European Open 2025,"Feb 22 - 23, 2025",/competitions/cont_open_pol2025/overview
Seniors,World Senior Championships 2025 Hungary Individuals,"Jun 13 - 19, 2025",/competitions/wc_sen2025/overview
Seniors,World Senior Championships 2025 Hungary Mixed Teams,"Jun 20, 2025",/competitions/wc_sen_teams2025/overview
Seniors,Yaounde African Open 2025,"Nov 22 - 23, 2025",/competitions/cont_open_cmr2025/overview
Seniors,Zagreb Grand Prix 2025,"Nov 14 - 16, 2025",/competitions/gp_cro2025/overview
Veterans,European Judo Championships Veterans 2025 Individuals,"May 22 - 25, 2025",/competitions/eju_vet2025/overview
Veterans,Jelsa Veteran European Cup 2025,"Oct 25 - 26, 2025",/competitions/eju_vet_cro2025/overview
Veterans,Maintal European Veterans Tournament 2025,"Sep 27 - 28, 2025",/competitions/eju_vet_ger2025/overview
Veterans,Paris World Championships Veterans 2025,"Nov 3 - 7, 2025",/competitions/wc_vet2025/overview
Veterans,Riga Veteran European Cup 2025,"Feb 22 - 23, 2025",/competitions/eju_vet_lat2025/overview
Veterans,Tbilisi Veteran European Cup 2025,"Mar 8 - 9, 2025",/competitions/eju_vet_geo2025/overview
Veterans,Warsaw Veteran European Cup 2025,"Apr 12, 2025",/competitions/eju_vet_pol2025/overview
Other,Belgrade ECC Champions League 2025,"Nov 22, 2025",/competitions/eju_cl_2025/overview
Other,Fatima European Kata Tournament 2025,"Nov 1 - 2, 2025",/competitions/kata_por2025/overview
Other,Games of the Small States of Europe 2025,"May 27 - 29, 2025",/competitions/eju_ss2025/overview
Other,IBSA Judo World Cup Tbilisi 2025,"Mar 24 - 25, 2025",/competitions/wcup_ibsa_geo2025/overview
Other,IJF Ordinary Congress 2025,"Jun 11, 2025",/competitions/ijf_congr_2025/overview
Other,IJF Panamerican Region International Refereeing Seminar 2025,"Apr 15 - 16, 2025",/competitions/pjc_ref_per2025/overview
Other,JUA Continental and International Refereeing Examination 2025,"Aug 15 - 19, 2025",/competitions/jua_ref_jor2025/overview
Other,Louvain-la-Neuve IJF Kata World Series 2025,"Mar 8, 2025",/competitions/kata_bel2025/overview
Other,Madrid European Kata Tournament 2025,"Sep 6, 2025",/competitions/kata_esp2025/overview
Other,Maintal European Kata Tournament 2025,"Oct 4, 2025",/competitions/kata_ger2025/overview
Other,Pordenone European Kata Tournament 2025,"Mar 22 - 23, 2025",/competitions/kata_ita2025/overview
Other,Radom European Kata Tournament 2025,"Apr 26, 2025",/competitions/kata_pol2025/overview
Other,Reims IJF Kata World Series 2025,"Apr 12, 2025",/competitions/kata_fra2025/overview
Other,Rhine-Ruhr 2025 FISU World University Games,"Jul 23 - 26, 2025",/competitions/fisu_2025/overview
Other,Riga European Kata Championships 2025,"May 31 - Jun 1, 2025",/competitions/eju_sen_kata2025/overview
Other,Tashkent ITC 2025,"Mar 3 - 6, 2025",/competitions/itc_uzb2025/overview
